countrycode,language,isofficial,percentage
PAK,Brahui,False,1.2
SLE,Yalunka,False,3.4
SDN,Fur,False,2.1
TZA,Luguru,False,4.9
TGO,Gurma,False,3.4
TCD,Gorane,False,6.2
CZE,Hungarian,False,0.2
UGA,Gisu,False,4.5
RUS,Kazakh,False,0.4
VNM,Miao,False,0.9
USA,Polish,False,0.3
AGO,Luchazi,False,2.4
ZAF,Swazi,False,2.5
PHL,Maguindanao,False,1.4
IDN,Bali,False,1.7
IND,Malajalam,False,3.6
IRN,Bakhtyari,False,1.7
CAN,Punjabi,False,0.7
KEN,Masai,False,1.6
CHN,Mongolian,False,0.4
COD,Boa,False,2.3
MOZ,Marendje,False,3.5
NGA,Ijo,False,1.8
SDN,Chilluk,False,1.7
TZA,Shambala,False,4.3
UGA,Acholi,False,4.4
RUS,Avarian,False,0.4
VNM,Man,False,0.7
USA,Korean,False,0.3
ZAF,Venda,False,2.2
PHL,Maranao,False,1.3
IND,Orija,False,3.3
IRN,Turkmenian,False,1.6
CAN,Ukrainian,False,0.6
KEN,Turkana,False,1.4
CHN,Tibetan,False,0.4
COD,Chokwe,False,1.8
MOZ,Nyanja,False,3.3
NGA,Bura,False,1.6
SDN,Lotuko,False,1.5
TZA,Gogo,False,3.9
UGA,Rwanda,False,3.2
RUS,Mari,False,0.4
USA,Vietnamese,False,0.2
ZAF,Ndebele,False,1.5
IND,Punjabi,False,2.8
CAN,Dutch,False,0.5
CHN,Puyi,False,0.2
TZA,Ha,False,3.5
RUS,Udmur,False,0.3
USA,Japanese,False,0.2
IND,Asami,False,1.5
CAN,Eskimo Languages,False,0.1
CHN,Dong,False,0.2
RUS,Belorussian,False,0.3
USA,Portuguese,False,0.2
